query,test_case_name,success,score,reason,actual_output,expected_output
"Co mám dělat, když nemám čerstvé oregano? Mohu použít sušené?",test_case_14,True,0.75,"The score is 0.75 because while the response likely answers the core question, irrelevant closing remarks and limitations in recipe-specific information slightly detract from its overall relevancy.","Tato informace není z databáze receptů, ale mohu nabídnout obecnou radu: Pokud nemáte čerstvé oregano, můžete ho nahradit sušeným oreganem. Obecně platí, že sušené bylinky jsou koncentrovanější než čerstvé, takže použijte menší množství. Doporučuje se použít asi třetinu množství sušeného oregano oproti čerstvému. Například, pokud recept vyžaduje jednu lžíci čerstvého oregana, použijte jednu čajovou lžičku sušeného. Dobrou chuť!","Místo čerstvého oregana se dá použít jedna zarovnaná lžička sušeného oregana, kterou je třeba do kastrolu přidat společně s vínem."
Jak se připravuje medovo-hořčičná marináda?,test_case_15,True,1.0,The score is 1.00 because the response is perfectly relevant!,"Medovo-hořčičnou marinádu připravíte takto:

1. Smíchejte dijonskou hořčici s medem, extra panenským olivovým olejem, prolisovaným nebo nasekaným česnekem, citronovou šťávou, solí a čerstvě namletým pepřem.
2. Přidejte hrst nasekaných bylinek, můžete použít jeden druh, nebo mix rozmarýnu, tymiánu a estragonu.

Do této směsi naložte hovězí nebo vepřové maso a nechte ho do druhého dne marinovat. Poté naložené maso grilujte dle zvyklostí. Dobrou chuť!","Marináda se připravuje smícháním hořčice s medem, olivovým olejem, prolisovaným nebo nasekaným česnekem, citronovou šťávou, solí, pepřem a nasekanými bylinkami."
Jak se přesně připravuje medovo-hořčičná marináda?,test_case_16,True,0.875,"The score is 0.88 because the presence of steps like 'Grilling the meat' and conversational elements lowered the relevancy, as they are not directly involved in the preparation of the marinade itself.","Pro přípravu medovo-hořčičné marinády budete potřebovat následující ingredience: čerstvě drcený pepř, česnek, citronová šťáva, dijonská hořčice, extra panenský olivový olej, med, rozmarýn čerstvý a sůl.

Postup přípravy:
1. Smíchejte hořčici s medem, olivovým olejem, prolisovaným nebo nasekaným česnekem, citronovou šťávou, solí a čerstvě namletým pepřem.
2. Přidejte hrst nasekaných bylinek (můžete použít jeden druh nebo mix rozmarýnu, tymiánu a estragonu).
3. Do této směsi naložte hovězí nebo vepřové maso a nechte ho do druhého dne marinovat.
4. Naložené maso pak grilujte, jak jste zvyklí.

Dobrou chuť! Pokud máte zájem o další informace nebo tipy, dejte mi vědět.","Marináda se připravuje smícháním hořčice s medem, olivovým olejem, prolisovaným česnekem, citronovou šťávou, solí, pepřem a nasekanými bylinkami."
Mohu do bábovky s ořechy přidat nějaké další ingredience?,test_case_17,True,0.8,"The score is 0.80 because the inclusion of a closing remark lowers the relevancy, as it doesn't directly address adding ingredients to the nut cake.","Ano, do bábovky s ořechy můžete přidat například rozinky. To je skvělý způsob, jak přidat trochu sladkosti a textury. Rád bych vám také poradil, že po upečení můžete ještě horkou bábovku potřít rozehřátým máslem a ihned posypat moučkovým cukrem pro extra lahodnost. Dobrou chuť!",Do těsta na bábovku s ořechy můžete přidat rozinky.
Čím se dá ještě vylepšit krupicová kaše?,test_case_18,True,0.8333333333333334,"The score is 0.83 because the closing salutation is irrelevant, but otherwise, the response appropriately addresses the question of improving cream of wheat.","Krupicovou kaši můžete vylepšit několika chutnými způsoby. Kromě cukru a skořice ji můžete posypat kakaem nebo ozdobit meruňkovým kompotem. Pokud máte rádi experimentování, zkuste přidat trochu oříšků nebo čerstvé ovoce. Dobrou chuť!",Do krupicové kaše lze přidat kakao a například meruňkový kompot.
"Musím nějak speciálně připravit dřevěné špejle, než na ně napíchám zeleninu?",test_case_19,True,0.75,"The score is 0.75 because while the response likely answers the question, it includes an unnecessary pleasantry, preventing a perfect score.","Ano, pokud používáte dřevěné špejle na grilování, doporučuje se je na 30 minut namočit do studené vody. Tento krok pomáhá předejít tomu, aby na grilu chytly oheň. Dobrou chuť při přípravě vašich špízů!","Pokud používáte dřevěné špejle, je dobré je na 30 minut namočit do studené vody, aby na grilu nechytly."
Jak často mám špízy otáčet a čím je mám potírat během grilování?,test_case_20,True,0.6666666666666666,"The score is 0.67 because the concluding remark, while not entirely unrelated to grilling, doesn't directly address the frequency of turning or basting the shish kebabs, lowering the relevancy.",Během grilování špízy průběžně otáčejte a potírejte zbylou marinádou. Dobrou chuť!,Špízy se mají průběžně otáčet a potírat zbylou marinádou.
Proč bych neměl propichovat kachnu během pečení?,test_case_21,True,0.8333333333333334,"The score is 0.83 because while the answer addresses the prompt, the inclusion of a general closing remark detracts slightly from the overall relevancy.","Během pečení kachny byste do masa neměli příliš píchat, protože by z něj zbytečně unikla šťáva a kachna by se mohla vysušit. Na začátku pečení je však vhodné propíchnout jen kůži, aby mohl vytéct přebytečný podkožní tuk. Dobrou chuť!","Kachnu byste neměli propichovat, protože by z ní unikla šťáva a maso by bylo vysušené. Na začátku pečení propíchejte jen kůži, aby mohl vytéct přebytečný podkožní tuk."
Jaké ingredience potřebuji na přípravu červeného zelí?,test_case_22,True,0.8,"The score is 0.80 because while the recipe ingredients are present, the inclusion of a conversational sentence and a closing remark detracts from perfect relevancy; it's not lower as the core request for ingredients is fulfilled.","Na přípravu červeného zelí podle receptu od Romana Vaňka budete potřebovat následující ingredience:

- Červené zelí
- Cibule
- Cukr krupice
- Kmín celý
- Ocet
- Sádlo
- Sůl

Pokud máte další dotazy, neváhejte se zeptat! Dobrou chuť!","Na červené zelí budete potřebovat červené zelí, cibuli, cukr krupici, kmín celý, ocet, sádlo a sůl."
Jak dlouho se nechává těsto odpočívat v lednici?,test_case_23,True,0.5,"The score is 0.50 because the inclusion of a general pleasantry dilutes the focus on the core question about dough resting time, but it still addresses the topic.",Těsto na jablečný štrúdl se nechává v lednici odpočívat 30 minut. Dobrou chuť!,Těsto se nechává v lednici po dobu jedné hodiny.
Jak se dochucuje pstruh před obalením v mouce?,test_case_24,True,0.8333333333333334,"The score is 0.83 because a concluding remark, while polite, doesn't contribute to the explanation of trout seasoning before coating.",Pstruh se dochucuje čerstvě mletým pepřem a solí ze všech stran i zevnitř. Poté se obalí v hladké mouce a přebytečná mouka se sklepne. Dovnitř ryby se také vkládá šalvěj a ryba je posypána kmínem. Dobrou chuť!,Pstruha je třeba osolit a opepřit čerstvě mletým pepřem ze všech stran i zevnitř.
Jak se pstruh dochutí a v čem se balí před smažením?,test_case_25,True,0.7777777777777778,"The score is 0.78 because the response includes conversational elements and well-wishing statements unrelated to the core question about trout seasoning and preparation for frying, but otherwise addresses the main points effectively.","Pstruh se dochutí osolením a opepřením čerstvě mletým pepřem ze všech stran i zevnitř. Poté se obalí v hladké mouce a přebytečná mouka se sklepe. Do vnitřku ryby se vloží šalvěj a ryba se ještě posype kmínem. Takto připravená ryba je následně smažena. Pokud potřebujete další podrobnosti nebo celý recept, dejte mi vědět! Dobrou chuť!","Pstruha je třeba osolit a opepřit čerstvě mletým pepřem ze všech stran i zevnitř, a poté ho obalit v hladké mouce."
"Jak dlouho mám vařit vývar, pokud použiji jenom hovězí žebra s kostí?",test_case_26,True,0.5,"The score is 0.50 because the output included an irrelevant closing remark, but otherwise correctly addressed the cooking time of beef broth with bone-in ribs.","Pokud použijete pouze hovězí žebra s kostí, doporučuji vařit vývar po dobu 4 hodin. Dobrou chuť!","Pokud použijete pouze hovězí žebra s kostí, tak vařte vývar 4 hodiny."
"Co mám dělat, když neseženu telecí kloubové kosti na vývar?",test_case_27,True,0.8571428571428571,The score is 0.86 because a pleasantry was included that wasn't helpful for finding veal knuckle bones.,"Pokud neseženete telecí kloubové kosti na hovězí vývar, můžete použít hovězí žebra s kostí. V tom případě doporučuji použít 1,5 kg hovězího žebra s kostí a vařit vývar po dobu 4 hodin. Hovězí žebra není třeba péct v troubě jako kloubové kosti. Nezapomeňte také pravidelně stahovat pěnu, která se tvoří na povrchu během vaření, aby byl vývar co nejčistší. Dobrou chuť!","Pokud nemáte telecí kloubové kosti, můžete použít 1,5 kg hovězího žebra s kostí a vývar vařit 4 hodiny."
Jak mám nakrájet rajčata do salsy?,test_case_28,True,0.75,"The score is 0.75 because while the response likely provides instructions on cutting tomatoes, the concluding remark slightly reduces its focus and relevance.",Do rajčatové salsy je vhodné rajčata rozkrojit na čtvrtiny a vykrojit tuhý střed včetně semínek. Poté dužninu nakrájejte na drobné kostičky. Takto nakrájená rajčata budou ideální do salsy. Dobrou chuť!,Rajčata se mají rozkrojit na čtvrtiny a tuhý střed včetně semínek se má vykrojit. Poté se dužnina nakrájí na drobné kostičky.
Jaký druh cibule se používá do rajčatové salsy?,test_case_29,True,0.5,"The score is 0.50 because the output contained conversational filler and a polite closing, which are irrelevant to the question about the type of onion used in tomato salsa.","Do rajčatové salsy se používá červená cibule. Pokud byste chtěl/a podrobnější informace o receptu, dejte mi vědět! Dobrou chuť!",Do salsy se používá červená cibule.
Jaký typ brambor je nejlepší použít na přípravu chlupatých knedlíků?,test_case_30,True,0.6666666666666666,"The score is 0.67 because while the response provides relevant information, it includes a pleasantry that doesn't contribute to answering the question about the best type of potatoes.",Pro přípravu chlupatých knedlíků doporučuji používat brambory varného typu B nebo C. Tyto typy brambor jsou vhodné pro dosažení správné konzistence těsta. Dobrou chuť!,Pro přípravu chlupatých knedlíků se nejlépe hodí brambory varného typu B nebo C.
Proč se bramborové noky obalují v sádle?,test_case_31,True,0.9166666666666666,The score is 0.92 because the greeting present is irrelevant to the question about potato dumplings being coated in lard.,"Bramborové noky se obalují v sádle po vyjmutí z vody, aby neokoraly. Sádlo pomáhá udržet jejich jemnou texturu a zabraňuje jejich vysušení. Před podáváním se noky navíc opečou dozlatova na pánvi s trochou sádla, což jim dodá další chuť a křupavost. Dobrou chuť!","Noky je třeba obalit v sádle, aby neokoraly."
Jaký typ brambor je nejlepší použít na petrželové brambory?,test_case_32,True,1.0,The score is 1.00 because the response is perfectly relevant and doesn't contain any irrelevant information. Excellent!,"Na přípravu petrželových brambor je nejlepší použít brambory typu A, B nebo C. Tyto typy brambor se dají uvařit do měkka a dobře drží tvar, což je ideální pro tento recept. Pokud máte zájem, mohu vám poskytnout celý recept na petrželové brambory podle Romana Vaňka.","Na petrželové brambory můžete použít brambory varného typu A, B nebo C."
Jaké brambory se nejlépe hodí na petrželové brambory?,test_case_33,True,0.6,"The score is 0.60 because the response included irrelevant pleasantries and restated parts of the question without providing helpful information, lowering the overall relevance.","Na petrželové brambory se nejlépe hodí brambory typu A, B, nebo C. Tyto druhy brambor se vaří podobně a jsou ideální na tento recept. Dobrou chuť!","Na petrželové brambory můžete použít brambory varného typu A, B nebo C."
Jak mám nechat okurku okapat?,test_case_34,True,0.9285714285714286,"The score is 0.93 because while the response is mostly relevant, it contains a concluding statement that doesn't directly contribute to the cucumber draining process, preventing a perfect score.","Pro přípravu tzatziky je důležité nechat okurku okapat, aby pustila přebytečnou vodu. Nejdříve z okurky odkrojte oba konce a podélně ji rozřízněte. Poté lžící vyškrábněte semínka a okurku nahrubo nastrouhejte. Nastrouhanou okurku dejte do cedníku, který položíte na misku, a okurku osolte. Zamíchejte a nechte ji 10 minut odstát. Takto okurka vypustí vodu, kterou můžete nechat odkapat do misky pod cedníkem. 

Dobrou chuť při přípravě tzatziky!","Okurku je potřeba dát do cedníku, který položíme na misku. Poté ji osolíme, zamícháme a necháme 10 minut odstát, aby pustila vodu."
Mohu použít jiný druh masa než vepřovou plec?,test_case_35,True,1.0,The score is 1.00 because the response is perfectly relevant and doesn't contain any irrelevant information! Nicely done!,"Ano, pokud máte na mysli recept ""Vepřové v mrkvi"", můžete použít i hovězí krk místo vepřové plece. Jen mějte na paměti, že s hovězím krkem budete muset prodloužit dobu vaření minimálně o 45 minut. Pokud byste potřeboval/a více informací o konkrétním receptu, dejte mi vědět!","Místo vepřové plece můžete použít i hovězí krk, ale doba vaření se musí prodloužit minimálně o 45 minut."
Jak dlouho a kde se má nechat steak odpočinout po ugrilování?,test_case_36,True,0.5,"The score is 0.50 because including a pleasantry like 'Enjoy your meal!' detracts from the purely instructional nature of the input question, making part of the response irrelevant. However, the rest of the response likely focuses on resting steak (hence not a 0).",Po ugrilování nechte steak odpočinout na talíři ještě 7 minut. Dobrou chuť!,Steak se má po ugrilování nechat 7 minut odpočinout.
Jak se připravuje chimichurri omáčka?,test_case_37,True,0.9166666666666666,"The score is 0.92 because while the response provides a good recipe for chimichurri, the inclusion of a closing remark like 'Dobrou chuť!' detracts slightly from its focus on preparation instructions.","Chimichurri omáčku si připravíte následovně: Smíchejte hrst plocholisté petržele, 2 lžíce oregana, jednu červenou chilli papričku, 2 stroužky česneku, sůl, pepř, 1 lžičku vinného octu a olivový olej. Vše dohromady rozmixujte. Jakmile bude omáčka hladká, je připravená k podávání. Dobrou chuť!","Chimichurri omáčku připravíte smícháním hrsti plocholisté petržele, 2 lžic oregana, chilli papričky, 2 stroužků česneku, soli, pepře, 1 lžičky vinného octu a olivového oleje a rozmixováním."
Jak dlouho a s čím přiklopené se tortilly grilují?,test_case_38,True,0.5,The score is 0.50 because the inclusion of a general well-wishing statement ('Enjoy your meal!') unrelated to the grilling instructions detracts from the focus and precision of the answer.,Tortilly se grilují přiklopené po dobu 2 minut. Dobrou chuť!,Tortilly se grilují 2 minuty pod pokličkou.
Jak se připravuje kuřecí maso na quesadillas?,test_case_39,True,0.8888888888888888,"The score is 0.89 because while most of the response is relevant, the inclusion of a pleasantry slightly detracts from the overall focus on answering the question directly.","Kuřecí maso na quesadillas připravíte takto: Osolte maso z obou stran a položte ho na rozpálený gril. Grilujte ho z obou stran doměkka. Když je maso hotové, položte ho na prkénko a nechte 3 minuty odpočinout. Poté ho nakrájejte na plátky silné 0,5 cm. 

Pokud byste potřeboval(a) další instrukce ohledně celého receptu na Quesadillas s kuřecím masem, dejte mi vědět! Dobrou chuť!",Kuřecí maso se osolí z obou stran a griluje se z obou stran doměkka.
"Co mám dělat, když mám na halušky jen nové brambory?",test_case_40,True,0.75,"The score is 0.75 because the inclusion of 'Dobrou chuť!' at the end, while polite, is irrelevant to directly answering the question about using new potatoes for halušky, slightly lowering the relevancy.","Pokud máte na halušky pouze nové brambory, doporučuje se přidat do těsta ještě 2 polévkové lžíce škrobu. Tím zajistíte, že těsto bude mít správnou konzistenci. Dobrou chuť!","Pokud máte k dispozici pouze nové brambory, přidejte do těsta 2 polévkové lžíce škrobu."
Čím se pokrývá každá dávka halušek v míse?,test_case_41,True,0.6666666666666666,"The score is 0.67 because the response includes a concluding remark that doesn't describe what covers the halušky, however it still addresses the core topic.","Každou dávku halušek v míse pokryjeme částí nadrobené brynzy, která se na nich rozpustí. Dobrou chuť!","K pokrytí každé dávky halušek v míse je třeba použít část nadrobené brynzy, která se na nich rozpustí."
Proč je důležité pečlivě oloupat bílý chřest?,test_case_42,True,0.75,"The score is 0.75 because while the response likely contains some relevant information, it also includes contradictory statements and general closing remarks that detract from the core reason why peeling white asparagus carefully is important.","Je velmi důležité oloupat bílý chřest pečlivě, protože má velmi tuhou slupku, která se nedá jíst a při konzumaci by jen překážela v ústech. Dobré oloupání zajistí, že se vám chřest bude příjemně konzumovat a nebude vás obtěžovat tvrdá slupka. Pokud máte zájem o podrobnější postup k přípravě chřestu, rád vám ho poskytnu. Dobrou chuť!","Bílý chřest je nutné oloupat velmi pečlivě, protože má tuhou slupku, která se nedá jíst."
"Jak mám správně loupat bílý chřest, abych neulomil hlavičku?",test_case_43,True,0.6666666666666666,"The score is 0.67 because the response contains instructions that risk breaking the asparagus head, along with irrelevant rationales and closing remarks, decreasing its overall relevance.","Bílý chřest je třeba loupat velmi pečlivě. Doporučuji začít loupat od hlavičky směrem dolů. Tímto způsobem chráníte hlavičku před ulomením. Jestliže máte škrabku na chřest nebo na brambory, je to ideální nástroj pro tuto práci. Je důležité být důsledný, protože chřest má velmi tuhou slupku, která se nedá jíst a při jídle by jen překážela v ústech. Dobrou chuť!","Bílý chřest se má loupat od hlavičky dolů, aby se hlavička neulomila."
Proč je důležité krájet cibuli do cibulačky na stejné kousky?,test_case_44,True,0.875,"The score is 0.88 because a general pleasantry was included, slightly detracting from the focus on the core question.","Je důležité krájet cibuli na stejné kousky, protože pokud by byly kousky nerovnoměrné, slabší kousky by se během restování začaly pálit a zhořkly by, zatímco větší kousky cibule by se nezabarvily včas. Správné zhnědnutí cibule je klíčové pro získání silného základu pro polévku, jinak by byla mdlá. Krájení cibule na stejné kousky tak zajišťuje rovnoměrné restování a optimální chuťový výsledek. Dobrou chuť!","Cibuli je důležité krájet na stejné kousky, aby se slabší kusy během restování nepálily a větší kusy se včas zabarvily."
Jaký vývar je potřeba na francouzskou cibulačku?,test_case_45,True,0.5,"The score is 0.50 because the output contains irrelevant salutations, but the core answer (once provided) is likely relevant.",Na francouzskou cibulačku potřebujete hovězí vývar. Dobrou chuť!,Pro přípravu francouzské cibulačky budete potřebovat hovězí vývar.
Čím se potírají jidáše a kdy se to dělá?,test_case_46,True,0.6666666666666666,"The score is 0.67 because a closing statement was included, which, while not entirely nonsensical, did not directly address the prompt about glazing jidáše and timing.","Jidáše se potírají tekutým medem ihned po upečení, když jsou ještě horké. Dobrou chuť!","Jidáše se po upečení bohatě potírají tekutým medem, dokud jsou ještě horké."
Kdy a čím se potírají jidáše?,test_case_47,True,0.8571428571428571,"The score is 0.86 because while the response directly answers the question about when and with what Jidáše are brushed, there's a closing remark that slightly detracts from the overall relevance.","Jidáše se potírají dvakrát. Před pečením je potřete rozšlehaným vejcem, aby získaly zlatavou barvu. Po upečení je ještě horké bohatě potřete tekutým medem, což jim dodá krásný lesk a sladkou chuť. Dobrou chuť!","Jidáše se bohatě potírají tekutým medem ihned po upečení, dokud jsou ještě horké."
Co mám dělat se šťávou po vyndání španělských ptáčků?,test_case_48,True,0.8888888888888888,The score is 0.89 because the response contains a closing remark that is irrelevant to the user's question about what to do with the sauce.,"Po vyndání španělských ptáčků ze šťávy ji dochuťte solí a pepřem a přeceďte ji přes cedník na ptáčky. Pokud nechcete šťávu cedit, můžete jí ponechat přírodní texturu, nebo ji rozmixovat tyčovým mixérem najemno a přecedit přes jemné síto. Šťávu můžete také zjemnit trochou smetany. Dobrou chuť!",Šťávu po vyndání ptáčků dochuťte solí a pepřem a poté ji přeceďte přes cedník na ptáčky.
Jaký vývar se nejlépe hodí pro přípravu kedlubnové polévky?,test_case_49,True,1.0,The score is 1.00 because there are no irrelevant statements; the response perfectly addresses the input.,"Pro přípravu kedlubnové polévky se nejlépe hodí kuřecí vývar. Pokud však preferujete vegetariánskou verzi, můžete použít zeleninový vývar. Dobrou chuť!","Pro přípravu kedlubnové polévky se nejlépe hodí kuřecí vývar, ale lze použít i zeleninový vývar pro vegetariánskou verzi."
Kolik mraženého medvědího česneku potřebuji do polévky?,test_case_50,True,0.6666666666666666,"The score is 0.67 because while the response likely provides a relevant quantity of frozen bear garlic for soup, the inclusion of ""Dobrou chuť!"", an irrelevant pleasantry, detracts from the overall relevancy. It's not lower because the core numerical answer is relevant to the question.","Do polévky z medvědího česneku budete potřebovat 110 g mraženého medvědího česneku, pokud ho použijete místo čerstvého. Dobrou chuť!","Můžete použít mražený medvědí česnek, v takovém případě ho ale budete potřebovat 110 g po rozmrazení."
"Jak často se má míchat risotto, když se vaří?",test_case_51,True,0.8888888888888888,"The score is 0.89 because while the answer is generally relevant to the stirring frequency of risotto, the inclusion of conversational fluff like 'Enjoy your meal!' lowers the overall relevancy score slightly.","Risotto je třeba velmi často míchat. Podle receptu na Chřestové risotto je důležité, aby se rýže často míchala, zejména když se voda téměř vyvařila a je potřeba přidat další. Tento proces zajistí, že rýže bude vařená al dente a nevytvoří se hrudky. Celkově se mi doporučuje, abyste se věnovali míchání po dobu vaření rizota, což trvá obvykle 16–20 minut. Dobrou chuť!","Risotto se má míchat velmi často, když se vaří."
Jak velké kostky kuřecího masa mám nakrájet do kuřecí kari polévky?,test_case_52,True,0.5,The score is 0.50 because wishing someone a good meal is irrelevant to the question about dicing chicken for curry soup.,"Pro kuřecí kari polévku doporučuji nakrájet kuřecí maso na kostky o hraně 1,5 cm. Dobrou chuť!","Kuřecí maso nakrájejte na kostky o hraně 1,5 cm."
